,id,date,rawContent,cleaned_content
58,21759,2022-08-06 23:47:03+00:00,#BOYCOTTMZETxAPTxGMA516 decorative,decorative
59,21760,2022-08-06 23:47:02+00:00,"What: #YooSeungHo ‘s 30th Birthday Subway Digital Advertisement 

When: August 14 - 20, 2022 

Where:
 ※ Hongik Univ. Station (2 locations)
 ※ Konkuk Univ. Station (1 location)
 ※ Samseong Station (3 locations)

 #30thHappyYooSeungHoDay
 #유승호 
 #HappyYooSeungHoDay https://t.co/ILXtZnZ6e2",what s 30th birthday subway digital advertisement when august 14 20 2022 where hongik univ station 2 locations konkuk univ station 1 location samseong station 3 locations
60,21761,2022-08-06 23:46:56+00:00,#BOYCOTTMZETxAPTxGMA516 decor,decor
61,21762,2022-08-06 23:46:45+00:00,Dad had to stay in their office til wee hours before driving home. They’re along Roxas Blvd hence it’s quite visible that everything was not/slow moving. An FB contact posted that it took him 5 hrs from CCP Complex to Quirino. Wild! https://t.co/72akQZWp3s,dad had to stay in their office til wee hours before driving home theyre along roxas blvd hence its quite visible that everything was notslow moving an fb contact posted that it took him 5 hrs from ccp complex to quirino wild
62,21763,2022-08-06 23:46:39+00:00,#BOYCOTTMZETxAPTxGMA516 debriefing,debriefing
63,21764,2022-08-06 23:46:25+00:00,@VButchoy Basta mag-iingat po. Kasi hindi natin alam kung ano pede gawin ng mga tao.,basta mag iingat po kasi hindi natin alam kung ano pede gawin ng mga tao
64,21765,2022-08-06 23:45:46+00:00,#BOYCOTTMZETxAPTxGMA516 debrief,debrief
65,21766,2022-08-06 23:45:29+00:00,#BOYCOTTMZETxAPTxGMA516 debris,debris
66,21767,2022-08-06 23:45:17+00:00,#BOYCOTTMZETxAPTxGMA516 debunk,debunk
67,21768,2022-08-06 23:45:05+00:00,Baon nko sa utang wala parin scholar 🥹,baon nko sa utang wala parin scholar
68,21769,2022-08-06 23:45:03+00:00,#BOYCOTTMZETxAPTxGMA516 debonair,debonair
69,21770,2022-08-06 23:44:52+00:00,@ibetxu Taeyong inspired 💅,taeyong inspired
70,21771,2022-08-06 23:44:51+00:00,#BOYCOTTMZETxAPTxGMA516 debar,debar
71,21772,2022-08-06 23:44:38+00:00,@deannyym Enjoying but not willing to have a serious relationship?,enjoying but not willing to have a serious relationship
72,21773,2022-08-06 23:44:38+00:00,hindi pa ko sigurado kung ganito pa din tayo sa huli pero sayo kona gusto umuwi,hindi pa ko sigurado kung ganito pa din tayo sa huli pero sayo kona gusto umuwi
73,21774,2022-08-06 23:44:37+00:00,#BOYCOTTMZETxAPTxGMA516 debutante,debutante
74,21775,2022-08-06 23:44:30+00:00,Sana wag na muna face to face,sana wag na muna face to face
75,21776,2022-08-06 23:44:25+00:00,#BOYCOTTMZETxAPTxGMA516 debug,debug
76,21777,2022-08-06 23:44:04+00:00,#BOYCOTTMZETxAPTxGMA516 debut,debut
77,21778,2022-08-06 23:44:02+00:00,@OGesports Royal gaved up,royal gaved up
78,21779,2022-08-06 23:44:01+00:00,"Sunday classics playing via grab radio. 
Lakas maka probinsya feels",sunday classics playing via grab radio lakas maka probinsya feels
79,21780,2022-08-06 23:43:56+00:00,A great way to start my day https://t.co/yEXMq1Cxen,a great way to start my day
80,21781,2022-08-06 23:43:49+00:00,#BOYCOTTMZETxAPTxGMA516 debit,debit
81,21782,2022-08-06 23:43:45+00:00,Mukhang worried lang haha https://t.co/eUDWCM32mP,mukhang worried lang haha
82,21783,2022-08-06 23:43:36+00:00,#BOYCOTTMZETxAPTxGMA516 depth,depth
83,21784,2022-08-06 23:43:33+00:00,@JBumbaclot as I should 💅,as i should
84,21785,2022-08-06 23:43:21+00:00,#BOYCOTTMZETxAPTxGMA516 deep,deep
85,21786,2022-08-06 23:43:15+00:00,Hay apaka hassle bumyahe pa pasay🤧,hay apaka hassle bumyahe pa pasay
86,21787,2022-08-06 23:43:08+00:00,Kung ganito pa naman makaka sama mo pag gising mo eh mawawala talaga lahat ng iniisip mo. ❤️ https://t.co/2x5xp6bBcX,kung ganito pa naman makaka sama mo pag gising mo eh mawawala talaga lahat ng iniisip mo
87,21788,2022-08-06 23:43:04+00:00,#BOYCOTTMZETxAPTxGMA516 deer,deer
88,21789,2022-08-06 23:42:37+00:00,#BOYCOTTMZETxAPTxGMA516 dealing,dealing
89,21790,2022-08-06 23:42:34+00:00,Send maayos na kaibigan,send maayos na kaibigan
90,21791,2022-08-06 23:42:30+00:00,#BOYCOTTMZETxAPTxGMA516 deal,deal
91,21792,2022-08-06 23:42:19+00:00,#BOYCOTTMZETxAPTxGMA516 dean,dean
92,21793,2022-08-06 23:42:19+00:00,"I love Valentina forever ♥️

“I’m so skinny and pretty i don’t understand” 🤣 https://t.co/MuftZln76K",i love valentina forever im so skinny and pretty i dont understand
93,21794,2022-08-06 23:42:14+00:00,@Dodovs Wa koy ticket and kwarta ikapalit hahahaha oks nakos youtube videos 🥲,wa koy ticket and kwarta ikapalit hahahaha oks nakos youtube videos
94,21795,2022-08-06 23:42:08+00:00,#BOYCOTTMZETxAPTxGMA516 deed,deed
95,21796,2022-08-06 23:42:04+00:00,Gusto ko ulit nito. 🤤 https://t.co/Aa6P9doRCg,gusto ko ulit nito
