,id,date,rawContent,cleaned_content
12,17513,2022-06-25 23:54:09+00:00,@AuntyTete_Of_PH Yh relaxed also now.... Thanks,yh relaxed also now thanks
13,17514,2022-06-25 23:52:42+00:00,Woho twa s3 cutlass https://t.co/WWwyEevKk0,woho twa s3 cutlass
14,17515,2022-06-25 23:52:09+00:00,Let him go on a honeymoon till the next season ends🙏🏽 https://t.co/tzt9xZQCGa,let him go on a honeymoon till the next season ends
15,17516,2022-06-25 23:51:40+00:00,@koboateng @unknown_eshun Drink water bro..... Chale do you do phone apps?,drink water bro chale do you do phone apps
16,17517,2022-06-25 23:51:30+00:00,@presh_lele God when?,god when
17,17518,2022-06-25 23:50:38+00:00,@DannyWelbeck You’re in town 🇬🇭,youre in town
18,17519,2022-06-25 23:50:13+00:00,Ashley is toxic AF,ashley is toxic af
19,17520,2022-06-25 23:50:10+00:00,"@daddys_girltn We really don’t care about how she made the money to build the house if there is no evidence of any illegality. 

Jackie Appiah should enjoy her mansion and forget these thirsty haters.",we really dont care about how she made the money to build the house if there is no evidence of any illegality jackie appiah should enjoy her mansion and forget these thirsty haters
20,17521,2022-06-25 23:48:58+00:00,@___teletubby East legon anaaa?,east legon anaaa
21,17522,2022-06-25 23:48:27+00:00,@Lowenzy_b Yes please.... You are very normal,yes please you are very normal
22,17523,2022-06-25 23:48:23+00:00,@swayekidd 😂😂😂😂😂😂😂,
23,17524,2022-06-25 23:48:18+00:00,@__Boakye @dessack come see your man https://t.co/cDJZqbSL08,come see your man
24,17525,2022-06-25 23:48:13+00:00,@BenopaOnyx1 That’s not her mansion. This is a mansion in California. Proud of Jackie Appiah though.,thats not her mansion this is a mansion in california proud of jackie appiah though
25,17526,2022-06-25 23:47:55+00:00,2am 🫠,2am
26,17527,2022-06-25 23:46:18+00:00,No matter what what get your money right,no matter what what get your money right
27,17528,2022-06-25 23:45:11+00:00,"Guys, Stranger Things on Netflix. Is it good?",guys stranger things on netflix is it good
28,17529,2022-06-25 23:44:40+00:00,Can't Wait Till It's 12 Then  I Start Downloading Man Vrs Bee😂😂😂,cant wait till its 12 then i start downloading man vrs bee
29,17530,2022-06-25 23:44:40+00:00,@InterBoy1908 YOUNG DENNIS https://t.co/SOV0UZWirk,young dennis
